danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.803	0.597	11	-6.035	0	0.141	0.000619	4.5e-06	0.323	0.331	136.008	audio_features	0k1WUmIRnG3xU6fvvDVfRG	spotify:track:0k1WUmIRnG3xU6fvvDVfRG	https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG	https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG	257605	4
0.889	0.594	10	-6.593	0	0.104	0.563	0.0	0.175	0.758	119.984	audio_features	6fSRCnfSfTBCbgoa6Nwhim	spotify:track:6fSRCnfSfTBCbgoa6Nwhim	https://api.spotify.com/v1/tracks/6fSRCnfSfTBCbgoa6Nwhim	https://api.spotify.com/v1/audio-analysis/6fSRCnfSfTBCbgoa6Nwhim	123200	4
0.8	0.541	10	-5.05	0	0.0375	0.0252	0.0	0.146	0.194	135.99	audio_features	25r6MZ4Gtd76l43qnZI1DG	spotify:track:25r6MZ4Gtd76l43qnZI1DG	https://api.spotify.com/v1/tracks/25r6MZ4Gtd76l43qnZI1DG	https://api.spotify.com/v1/audio-analysis/25r6MZ4Gtd76l43qnZI1DG	183514	4
0.739	0.74	5	-5.86	0	0.333	0.0045	0.0	0.161	0.488	75.575	audio_features	4yNoUQkYf1QF8iYlEzNynH	spotify:track:4yNoUQkYf1QF8iYlEzNynH	https://api.spotify.com/v1/tracks/4yNoUQkYf1QF8iYlEzNynH	https://api.spotify.com/v1/audio-analysis/4yNoUQkYf1QF8iYlEzNynH	279853	4
0.803	0.495	11	-5.724	1	0.321	0.121	0.0	0.104	0.628	80.972	audio_features	15OlC497ScJt9N2BS8lOev	spotify:track:15OlC497ScJt9N2BS8lOev	https://api.spotify.com/v1/tracks/15OlC497ScJt9N2BS8lOev	https://api.spotify.com/v1/audio-analysis/15OlC497ScJt9N2BS8lOev	195154	4
0.559	0.532	5	-7.679	0	0.353	0.174	0.0	0.136	0.529	85.843	audio_features	4HTY26kzdGCKJF1EqcRd2J	spotify:track:4HTY26kzdGCKJF1EqcRd2J	https://api.spotify.com/v1/tracks/4HTY26kzdGCKJF1EqcRd2J	https://api.spotify.com/v1/audio-analysis/4HTY26kzdGCKJF1EqcRd2J	186060	5
0.861	0.637	6	-7.701	0	0.133	0.392	0.0	0.0929	0.754	87.006	audio_features	2DTpP3caqX3QdJIEoS83mD	spotify:track:2DTpP3caqX3QdJIEoS83mD	https://api.spotify.com/v1/tracks/2DTpP3caqX3QdJIEoS83mD	https://api.spotify.com/v1/audio-analysis/2DTpP3caqX3QdJIEoS83mD	198621	4
0.647	0.483	11	-7.59	0	0.11	0.0755	0.0	0.138	0.299	98.87	audio_features	5b2CRPYt0QNA0jaCJNIIdn	spotify:track:5b2CRPYt0QNA0jaCJNIIdn	https://api.spotify.com/v1/tracks/5b2CRPYt0QNA0jaCJNIIdn	https://api.spotify.com/v1/audio-analysis/5b2CRPYt0QNA0jaCJNIIdn	169697	4
0.824	0.484	1	-5.618	1	0.07	0.0361	0.0	0.0592	0.148	77.039	audio_features	42Q71LGgYI4eBdebWn5m6D	spotify:track:42Q71LGgYI4eBdebWn5m6D	https://api.spotify.com/v1/tracks/42Q71LGgYI4eBdebWn5m6D	https://api.spotify.com/v1/audio-analysis/42Q71LGgYI4eBdebWn5m6D	146494	4
0.756	0.698	6	-5.464	1	0.178	0.0849	0.0	0.221	0.66	77.497	audio_features	6cUHiQEECDl5m3WFGQ1GCR	spotify:track:6cUHiQEECDl5m3WFGQ1GCR	https://api.spotify.com/v1/tracks/6cUHiQEECDl5m3WFGQ1GCR	https://api.spotify.com/v1/audio-analysis/6cUHiQEECDl5m3WFGQ1GCR	247714	4
